,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,オヂヤバル MOB,050-5492-3609,,新潟県,小千谷市城内,1-6-9,,https://odiyabal-mob.gorp.jp/,True
1,焼鳥＆旬彩厨房わび助（わびすけ） 加治木店,050-5486-7354,,鹿児島県,姶良市加治木町本町,206,,https://wabisukekajiki.gorp.jp/,True
2,マグロとせいろ蒸し料理 勝浦,050-5485-9209,,和歌山県,和歌山市湊,45-1,,https://katsuura.gorp.jp/,True
3,ととちゃんぷる,050-5484-2535,,沖縄県,国頭郡恩納村字恩納,341-2,,https://totochanpuru.gorp.jp/,True
4,ココロア カフェ,050-5487-5239,,沖縄県,浦添市港川,2-17-7,,https://cocoroa.gorp.jp/,True
5,十徳や 春日下白水店,050-5485-7316,,福岡県,春日市下白水北番,3丁目85,,https://f035803.gorp.jp/,True
6,かわ屋 白金店,092-522-0739,,福岡県,福岡市中央区白金,1-15-7,,https://fbjz100.gorp.jp/,True
7,肉や 一ノ剱,050-5493-1568,,福岡県,久留米市野中町,630-6,,https://fb8h700.gorp.jp/,True
8,十三屋,050-5484-6599,,沖縄県,島尻郡南風原町兼城,564,,https://jusanya.gorp.jp/,True
9,はなの夢 ルートイン浜名湖店,050-5484-7340,,静岡県,湖西市古見,1049-1,,https://n014035.gorp.jp/,True
10,とりあえず吾平 東広島店,050-5484-0363,,広島県,東広島市西条町御薗宇,5171-1,,https://y659000.gorp.jp/,True
11,居酒屋割烹 源左ェ門 木倉町店,050-5486-7442,,石川県,金沢市木倉町,5-3,,https://genzaemonkiguramachi.gorp.jp/,True
12,ひなっ子 鳥栖店,050-5485-0529,,佐賀県,鳥栖市京町,722-25,京町ビル1F,https://f042117.gorp.jp/,True
13,しゃぶ辰 牛久店,029-874-9746,,茨城県,牛久市栄町,5-5-1,,https://a781200.gorp.jp/,True
14,よってけ じゅんぼう,050-5486-8301,,新潟県,魚沼市小出島,1221-4,,https://yottekejunbou.gorp.jp/,True
15,ＲｅｓｔａｕｒａｎｔＣｈｅｚ Ｏｋａ,045-891-6701,,神奈川県,横浜市栄区小山台,1-21-16,ヒルズ小山台106,https://a733600.gorp.jp/,True
16,よろず居酒屋 やくう 笠岡店,050-5486-7399,,岡山県,笠岡市十一番町,11-71,,https://yakukasaoka.gorp.jp/,True
17,寧々家 山形松見町店,050-1720-6328,,山形県,山形市南原町,3-21-20,,https://neneya-yamagatamatsumicho.gorp.jp/,True
18,浜焼き 白浜家,050-5487-4375,,福岡県,糸島市志摩芥屋,677-2,,,
19,全席個室 居酒屋 九州料理 かこみ庵 佐世保下京町店,050-5487-4529,,長崎県,佐世保市下京町,4-3,,https://fahv839.gorp.jp/,True
20,露乃樹 さこう（つゆのき さこう）,050-5487-2675,,鹿児島県,霧島市牧園町宿窪田,1383-2,,https://tuyunoki-sakou.gorp.jp/,True
21,千里,095-881-0555,,長崎県,西彼杵郡時津町浦郷,270-15,,https://fbrv400.gorp.jp/,True
22,滝の川,050-5486-8055,,福井県,福井市御幸,4-12-1,,https://r803900.gorp.jp/,True
23,越前華丸 野々市店,050-5486-7882,,石川県,野々市市粟田,5-437-3,,https://hanamaru-nonoichi.gorp.jp/,True
24,とりあえず吾平 埼玉加須店,050-5488-7562,,埼玉県,加須市上三俣,810,,https://a397400.gorp.jp/,True
25,焼肉 肉のまるふく 岩出店,050-5484-2517,,和歌山県,岩出市山,594-1,,https://kce1312.gorp.jp/,True
26,美味酒屋 なぶらや。 野洲駅前店,050-5486-0826,,滋賀県,野洲市小篠原,2213-3,,https://naburaya-yasu.gorp.jp/,True
27,サムズ カフェ,098-935-3699,,沖縄県,中頭郡北中城村安谷屋,1934,,https://sams-cafe-kitanakagusuku.gorp.jp/,True
28,サムズ バイザシー 泡瀬店,098-937-3421,,沖縄県,沖縄市泡瀬,1-41-15,,https://sams-by-the-sea-awase.gorp.jp/,True
29,まぼろし海鮮 陸奥 多賀城駅前店,050-5493-0532,,宮城県,多賀城市中央,2-5-1,,https://ta4x801.gorp.jp/,True
30,炭火焼居酒屋 霧家（きりや）,050-5487-2381,,鹿児島県,霧島市国分中央,3-6-7,,https://kiriya.gorp.jp/,True
31,焼肉 もとぶ牧場 もとぶ店,050-5484-7152,,沖縄県,国頭郡本部町字大浜,881-1,,https://f556000.gorp.jp/,True
32,炭火焼き鳥×仙台牛タン×鮮魚 個室居酒屋 幻 亀戸店,080-9640-0714,,東京都,江東区亀戸,2-20-7,亀戸会館6F,https://gjbf202.gorp.jp/,True
33,下町大衆酒場 ほっかい酒房,050-5487-7961,,北海道,札幌市中央区南,5条西5-11,モモヤビルB1,https://ha7d400.gorp.jp/,True
34,博多もつ鍋前田屋 博多店,050-5487-3803,,福岡県,福岡市博多区博多駅前,3-26-5,,https://fb08501.gorp.jp/,True
35,鳥きんぐ 富田林店,050-5485-7858,,大阪府,富田林市旭ケ丘町,11-45,,https://k983713.gorp.jp/,True
36,個室居酒屋 七輪焼鶏 すぎ多 藤枝稲川本店,050-5486-2048,,静岡県,藤枝市稲川,1-6-37,,https://sugitahonten.gorp.jp/,True
37,和食麺処サガミ梅森坂店,050-5494-1650,,愛知県,名古屋市名東区梅森坂,1-703,,https://ncb7067.gorp.jp/,True
38,こうりん坊（鳥取店）,050-5489-3909,,鳥取県,鳥取市末広温泉町,311,,https://ya2a101.gorp.jp/,True
39,しゃぶしゃぶ 日本料理 木曽路 明石店,050-5486-0754,,兵庫県,明石市大明石町,2-3-13,,,
40,竜宮海鮮市場 漁師小屋,050-5486-4330,,静岡県,沼津市岡宮,1208-1,,https://nb6f100.gorp.jp/,True
41,魚民 矢野口南口駅前店,042-377-1588,,東京都,稲城市矢野口,300-1,矢野口ITビル2F,https://gdgf075.gorp.jp/,True
42,しちりん家 西尾店,050-5485-7380,,愛知県,西尾市山下町八幡山,51-1,,https://sitirinya-nishio.gorp.jp/,True
43,みその庵,050-5487-0935,,広島県,東広島市西条町御薗宇,6522-1,,https://y977900.gorp.jp/,True
44,BarBa‐Styleバーバスタイル,050-5486-4663,,愛知県,津島市莪原町不毛,69,,https://barba-style.gorp.jp/,True
45,あぐーしゃぶしゃぶ・沖縄料理 かふう 瀬良垣店,050-5492-6233,,沖縄県,国頭郡恩納村瀬良垣,1105-1,,https://fays401.gorp.jp/,True
46,磯丸水産 渋谷道玄坂店,050-5484-6990,,東京都,渋谷区道玄坂,2-29-8,道玄坂センタービル6F,https://g111386.gorp.jp/,True
47,しゃぶしゃぶ・日本料理 木曽路 一宮店,050-5485-9922,,愛知県,一宮市赤見,1-1-1,,https://n011455.gorp.jp/,True
48,すし屋 銀蔵 西武新宿Brick St．店,050-5486-4042,,東京都,新宿区歌舞伎町,1-30-1,ブリックストリート,https://gara557.gorp.jp/,True
49,鰻の成瀬 福岡渡辺通店,050-5488-7037,,福岡県,福岡市中央区渡辺通,3-1-16,アビターレエクセラ1F,https://fbzv800.gorp.jp/,True
